numero,fecha_dl,nop,litros,rcs,mc
1151,27/05/08,7,"4,2",136,1
1163,14/10/09,8,,,0
1371,21/08/09,7,,,0
1385,13/01/10,7,"16,6",90,1
2006,24/02/10,8,"19,8",614,1
2023,13/02/10,7,"27,2",211,1
2033,29/03/09,6,25,72,1
2063,05/11/09,7,18,2104,1
2066,01/03/09,8,,,0
2069,07/05/09,6,"14,2",96,1
2092,23/07/08,7,"7,2",186,1
2094,18/04/09,7,"16,2",1559,1
2114,27/02/09,7,"6,6",1440,1
2127,21/04/09,5,"12,4",174,1
2134,17/05/09,6,,,0
2135,08/05/09,6,11,187,1
2159,03/12/08,6,"4,2",485,1
2160,19/11/09,5,"31,6",225,1
2166,05/06/09,6,"18,4",422,1
2195,30/04/09,5,"15,8",371,1
2200,12/12/09,8,32,199,1
2221,13/05/09,7,"16,4",1352,1
2224,19/12/09,6,33,12,1
2227,09/04/09,5,,,0
2235,15/12/08,6,"21,8",386,1
2243,29/04/09,6,"15,8",65,1
2255,06/04/08,5,,,0
2258,02/03/10,7,"11,4",,0
2341,10/04/09,6,"13,6",548,1
2347,24/07/08,5,"17,6",250,1
2357,05/07/09,6,"10,6",1392,1
2361,01/05/08,5,,,0
2372,23/04/09,6,,,0
2381,31/05/09,4,"19,6",70,1
2385,21/02/10,5,,,0
2413,13/12/08,5,"13,4",320,1
2431,27/09/09,6,"35,4",178,1
2439,23/02/08,2,"6,8",501,1
2444,21/02/08,4,"20,8",910,1
2447,21/06/09,4,"25,8",42,1
2454,11/05/09,5,"17,4",10,1
2460,18/03/09,4,"19,2",95,1
2462,24/08/08,3,13,402,1
2478,13/12/08,5,"2,2",,0
2492,19/06/09,4,"21,8",78,1
2509,14/08/08,4,"20,2",,0
2510,03/05/09,5,9,220,1
2511,16/04/09,5,14,47,1
2515,03/04/09,5,"18,4",76,1
2539,22/05/08,4,"6,2",339,1
2541,09/07/09,4,26,67,1
2547,08/05/09,5,,,0
2571,15/02/10,6,"12,2",53,1
2576,21/09/09,5,,,0
2589,05/01/10,5,,,0
2594,10/01/10,4,12,151,1
2598,10/01/10,5,"29,6",51,1
2604,09/04/09,5,"9,8",703,1
2605,27/02/09,4,"15,4",111,1
2611,24/11/09,5,"24,8",617,1
2614,11/05/09,5,,,0
2618,18/10/09,5,"27,4",8,1
2620,18/05/09,4,"22,6",88,1
2629,06/03/09,4,"14,6",2267,1
2642,21/06/09,4,"18,4",116,1
2644,08/01/10,5,,,0
2650,03/07/08,4,"4,8",483,1
2668,02/03/09,4,"16,6",105,1
