numero,fecha_dl,nop,litros,rcs,mc
2968,24/07/09,4,"33,4",897,1
2971,29/05/09,3,"19,6",1101,1
2974,29/05/09,3,"25,8",289,1
2976,01/11/09,3,"41,4",385,1
2978,27/10/2009,4,"31,8",863,1
2980,07/05/09,3,"21,4",107,1
2981,01/10/09,3,"24,4",467,1
2987,07/10/09,3,"37,4",81,1
2991,04/04/09,3,"31,4",8,1
2993,26/03/10,3,"21,2",157,1
2998,03/05/09,3,"33,6",172,1
3001,16/04/09,3,"22,8",1394,1
3003,29/03/09,3,"20,6",176,1
3005,15/09/09,4,"33,6",2427,1
3009,21/05/09,3,"34,8",148,1
3010,19/10/09,3,"31,8",197,1
3011,17/07/09,3,"26,6",173,1
3018,28/06/09,3,"23,2",58,1
3020,30/06/09,3,"35,2",2,1
3025,14/04/09,2,27,330,1
3027,24/06/09,2,31,1527,1
3032,24/05/09,3,38,1726,1
3034,16/03/10,3,"15,4",70,1
3038,11/09/09,3,"31,8",53,1
3040,21/03/10,3,"23,2",2311,1
3041,24/06/09,3,22,193,1
3042,27/08/08,2,27,66,1
3043,01/04/08,1,"9,6",288,1
3047,28/09/09,3,40,7,1
3049,18/02/10,3,"21,8",190,1
3050,03/03/10,3,"18,6",513,1
3052,26/08/09,3,34,7,1
3055,22/02/09,3,"20,2",200,1
3057,16/08/2008,2,19,363,1
3061,08/05/2009,3,"31,4",98,1
3062,12/05/09,3,15,215,1
3063,21/07/08,2,"24,2",470,1
3066,29/03/10,4,"22,8",126,1
3068,05/06/09,2,"22,6",57,1
3069,16/06/09,2,"32,4",147,1
3071,07/02/10,3,"15,6",12,1
3077,23/07/09,3,"27,4",26,1
3079,16/04/09,2,"29,4",4,1
3081,25/09/2009,3,"39,8",3163,1
3083,27/06/08,2,"19,8",90,1
3092,10/09/08,2,"21,4",114,1
3093,16/07/08,2,"23,6",183,1
3095,05/06/09,2,"32,4",131,1
3101,24/06/09,3,"31,4",81,1
3121,19/08/09,2,31,5,1
3125,06/04/09,2,"34,8",5,1
3126,20/11/09,3,"37,8",6,1
3136,21/08/09,2,"36,4",5,1
3140,11/07/08,2,"10,2",344,1
3148,19/10/09,3,"39,2",5,1
3149,13/10/09,2,"38,4",60,1
3150,28/06/09,2,"29,6",45,1
3152,15/03/10,3,"19,4",1624,1
3157,14/08/09,3,"31,6",48,1
3158,20/10/09,2,"38,2",13,1
3161,23/10/09,3,41,51,1
3166,12/04/08,1,11,152,1
3167,09/05/09,2,"32,8",95,1
3171,08/05/09,2,"21,8",6,1
3172,06/06/09,2,"34,8",236,1
3174,13/03/10,3,"9,2",210,1
3177,30/09/09,3,"45,4",51,1
3181,06/02/10,2,"17,2",31,1
3183,21/09/09,2,41,330,1
3184,29/06/09,2,"22,6",295,1
3185,30/03/10,3,"26,2",1916,1
3188,05/07/09,2,"28,6",259,1
3195,03/05/09,1,"35,6",86,1
3196,27/06/09,2,23,62,1
3199,29/09/09,2,42,204,1
3201,24/05/09,2,"17,8",95,1
3208,23/04/09,2,"27,4",200,1
3212,12/10/09,2,"36,6",107,1
3221,06/05/09,2,"34,6",61,1
3230,10/01/10,3,"13,4",1773,1
3232,11/05/09,2,"21,4",53,1
